IST Url,IST Title,OPB Url,Amazon URL,Target URL,Retail Price,OPB Status,OPB Current Price,IST Status,IST Current Price,Amazon Status,Amazon Current Price,Target Status,Target Current Price,Min Current Price,All time Low Price,Target Doc Name,Last Updated
https://www.instocktrades.com/products/oct150272/100-bullets-tp-book-04-(mr),100 Bullets TP Book 04 (MR),,,,,,,,,,,,,,,100 Bullets Omnibus Vol. 2,
https://www.instocktrades.com/products/mar227172/52-omnibus-hc-2022-edition,52 Omnibus HC 2022 Edition,https://organicpricedbooks.com/products/52-omnibus-2022-edition,,https://www.target.com/p/52-omnibus-2022-edition-by-grant-morrison-mark-waid-hardcover/-/A-85279294,,,,,,,,,,,,52 Omnibus (2022 Edition),
https://www.instocktrades.com/products/jan140348/absolute-all-star-batman-robin-the-boy-wonder-hc,Absolute All-Star Batman & Robin the Boy Wonder HC,https://organicpricedbooks.com/products/absolute-batman-robin-the-boy-wonder-hc,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/apr170432/absolute-authority-hc-vol-01,Absolute Authority HC Vol 01,https://organicpricedbooks.com/collections/dc-comics/products/absolute-authority-vol-1-new-edition,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jan180392/absolute-authority-hc-vol-02-new-ed,Absolute Authority HC Vol 02,https://organicpricedbooks.com/products/absolute-authority-hc-vol-02-new-ed,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/apr140278/absolute-batman-haunted-knight-hc,Absolute Batman Haunted Knight HC,https://organicpricedbooks.com/collections/dc-comics/products/absolute-batman-haunted-knight,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/JAN180393/ABSOLUTE-BATMAN-THE-KILLING-JOKE-HC,Absolute Batman the Killing Joke HC ,https://organicpricedbooks.com/collections/dc-comics/products/absolute-batman-the-killing-joke-hc,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/apr190525/absolute-dark-knight-iii-the-master-race-hc,Absolute Dark Knight III the Master Race HC,https://organicpricedbooks.com/collections/dc-comics/products/absolute-batman-the-dark-knight-the-master-race,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/nov227135/absolute-dark-nights-death-metal-hc,Absolute Dark Nights Death Metal HC,https://organicpricedbooks.com/products/absolute-dark-nights-death-metal-hc-in-store-date-6-13-2023,,,,,,,,,,,,,,Absolute Dark Nights: Death Metal,
https://www.instocktrades.com/products/oct217048/absolute-dark-nights-metal-hc,Absolute Dark Nights Metal HC,https://organicpricedbooks.com/products/absolute-dark-nights-metal-hc-in-store-5-31-2022,,,,,,,,,,,,,,Absolute Dark Nights: Metal,
https://www.instocktrades.com/products/may190468/absolute-death-hc-new-ed-(mr),Absolute Death HC New Ed (MR),https://organicpricedbooks.com/products/absolute-death,,,,,,,,,,,,,,Absolute Death,
https://www.instocktrades.com/products/oct217047/absolute-doomsday-clock-hc,Absolute Doomsday Clock HC,https://organicpricedbooks.com/products/absolute-doomsday-clock-hc-in-store-6-14-2022,,,,,,,,,,,,,,Absolute Doomsday Clock,
https://www.instocktrades.com/products/apr180259/absolute-flashpoint-hc,Absolute Flashpoint HC,https://organicpricedbooks.com/collections/dc-comics/products/absolute-flashpoint,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug190641/absolute-fourth-world-by-jack-kirby-hc-vol-01,Absolute Fourth World By Jack Kirby HC Vol 01,https://organicpricedbooks.com/products/absolute-fourth-world-by-jack-kirby-hc-vol-01,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/may217148/absolute-fourth-world-by-jack-kirby-hc-vol-02,Absolute Fourth World By Jack Kirby HC Vol 02,https://organicpricedbooks.com/products/absolute-jack-kirbys-fourth-world-vol-2,,,,,,,,,,,,,,Absolute Fourth World by Jack Kirby Vol. 2,
https://www.instocktrades.com/products/jul160394/absolute-infinite-crisis-hc,Absolute Infinite Crisis HC,https://organicpricedbooks.com/products/absolute-infinite-crisis,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/may170343/absolute-justice-league-origin-hc,Absolute Justice League Origin HC,https://organicpricedbooks.com/collections/dc-comics/products/absolute-justice-league-origin,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/feb180293/absolute-kingdom-come-hc-new-ed,Absolute Kingdom Come HC New Ed,https://organicpricedbooks.com/products/absolute-kingdom-come-new-edition,,,,,,,,,,,,,,Absolute Kingdom Come (New Edition),
https://www.instocktrades.com/products/dec217154/absolute-multiversity-hc,Absolute Multiversity HC,https://organicpricedbooks.com/products/absolute-multiversity-on-sale-07-19-2022,,,,,,,,,,,,,,The Absolute Multiversity,
https://www.instocktrades.com/products/jul207112/absolute-planetary-hc,Absolute Planetary HC,https://organicpricedbooks.com/products/absolute-planetary,,,,,,,,,,,,,,Absolute Planetary,
https://www.instocktrades.com/products/jan160353/absolute-preacher-hc-vol-01-(mr),Absolute Preacher HC Vol 01 (MR),https://organicpricedbooks.com/products/absolute-preacher-hc-vol-01-mr,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/nov160355/absolute-preacher-hc-vol-02-(mr),Absolute Preacher HC Vol 02 (MR),https://organicpricedbooks.com/collections/dc-comics/products/absolute-preacher-vol-2,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/sep170442/absolute-preacher-hc-vol-03-(mr),Absolute Preacher HC Vol 03 (MR),https://organicpricedbooks.com/collections/dc-comics/products/absolute-preacher-hc-vol-03-mr,,,,,,,,,,,,,,Absolute Preacher Vol. 3,
https://www.instocktrades.com/products/jul108195/absolute-sandman-hc-vol-01-(mr),Absolute Sandman HC Vol 01 (MR),https://organicpricedbooks.com/products/absolute-sandman-vol-1-hc-mr,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jul118168/absolute-sandman-hc-vol-02-(mr),Absolute Sandman HC Vol 02 (MR),https://organicpricedbooks.com/products/absolute-sandman-vol-2-hc-mr,,,,,,,,,,,,,,Absolute Sandman Volume Two,
https://www.instocktrades.com/products/mar128124/absolute-sandman-hc-vol-03-(mr),Absolute Sandman HC Vol 03 (MR),https://organicpricedbooks.com/products/absolute-sandman-hc-vol-03,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jul138412/absolute-sandman-hc-vol-04-(mr),Absolute Sandman HC Vol 04 (MR),https://organicpricedbooks.com/products/absolute-sandman-hc-vol-04-mr,,,,,,,,,,,,,,,
